feature,bin_future,p,N,freq,bin_past,p,N,freq,bin_present,p,N,freq
! you,0.00826425683906328,0.7861537219234173,4511,11,-0.00060296192067719643,0.986309433822484,4511,11,-0.002228036888305376,0.9494834388993447,4511,11
"""",-0.043179445452152368,0.048527219167195525,4511,325,0.029315032271187522,0.3476431305617794,4511,325,-0.0087966931775203001,0.7767040852961707,4511,325
""" """,-0.019816666256040595,0.5516685517151902,4511,7,-0.00088293783540588291,0.9811645041369143,4511,7,-0.0059752722406675365,0.8593366987136966,4511,7
""" ,",-0.02169206531263446,0.5203040680016227,4511,7,-0.022971539670848012,0.5559467289583547,4511,7,0.024321608065189345,0.3783597298799523,4511,7
""" .",-0.013275796275921778,0.6446144922368092,4511,10,0.036286534614590069,0.15737235021993964,4511,10,-0.016305997728801671,0.5772371337343539,4511,10
""" ...",-0.02095257781659831,0.5381125015853,4511,7,0.035792597281419161,0.16671752502579665,4511,7,-0.010143226565207593,0.7378586516513137,4511,7
""" and",-0.0061645156331628015,0.8468574227786713,4511,5,0.012032324233958986,0.7462720912336989,4511,5,-0.017575394545292899,0.5489219968021878,4511,5
""" i",0.0085595506279938227,0.7774474734979389,4511,10,0.0069176587038808487,0.8598654423407786,4511,10,-0.016428769899098271,0.5741954162800378,4511,10
""" i'm",-0.018483995259305431,0.5516685517151902,4511,5,0.00505215896512175,0.8923301713540136,4511,5,0.01445708002177238,0.6232006240385661,4511,5
""" is",-0.017907832929743347,0.5516685517151902,4511,5,-0.010790276809017844,0.776930710943722,4511,5,-0.0025755385530123495,0.9396610125616214,4511,5
""" lol",0.014630395940050016,0.6049154707400791,4511,5,0.0075702792079403768,0.8473549544985232,4511,5,-0.016159417446490309,0.5783151434513132,4511,5
""" the",0.0081333982778221004,0.7876664928402245,4511,5,0.0012287048834130341,0.9787827418314987,4511,5,-0.0051806488602171106,0.8791960331576991,4511,5
#,-0.010610465746701044,0.7215624506454342,4511,27,-0.027879740626879704,0.388348982230142,4511,27,0.0081571993872998263,0.7961257348584226,4511,27
#oomf,-0.005845721246707139,0.8531066517797458,4511,6,0.0014676403375406704,0.9758880154493886,4511,6,0.0067548016126733638,0.8399468481444955,4511,6
$,0.0045258337734123324,0.8847866768333498,4511,37,0.0083735291092628811,0.8319030199073081,4511,37,-0.0067208403409123822,0.8399776599958986,4511,37
%,0.019820026148814628,0.5516685517151902,4511,14,0.0014540713298887326,0.9758880154493886,4511,14,-0.014571871529761249,0.619938899311149,4511,14
&,-0.0062960067103506115,0.8432955321504975,4511,126,0.025029330575568103,0.4855455323205314,4511,126,-0.0075964358271007745,0.814523553417458,4511,126
& amp,-0.0046631629519583119,0.8813528817917318,4511,68,0.028242386634645043,0.37649940118119757,4511,68,-0.014082093729257783,0.6344416354021455,4511,68
& amp ;,-0.0048555041230090327,0.8783452294766572,4511,68,0.027498946380603642,0.399899584924279,4511,68,-0.013263873210628734,0.6538943664944857,4511,68
',-0.0042921882751425335,0.8922836627559608,4511,110,-0.0096356290328672885,0.8008338761802261,4511,110,-0.0058005914186344066,0.8620426778216908,4511,110
' s,7.8052793586432995e-05,0.997162737289998,4511,12,-0.01277228488536805,0.7345390111863312,4511,12,0.014085989392104651,0.6344416354021455,4511,12
'',-0.02882672795001277,0.30689892023401993,4511,253,0.011806638358962394,0.7525378003233589,4511,253,-0.019548673698097936,0.5009612262390957,4511,253
(,-0.0025088955917429005,0.9369583104167282,4511,108,0.018691534758735435,0.6252258343476071,4511,108,-0.010951676685988083,0.7149857113370058,4511,108
(:,0.0095576367555596752,0.7515227046911837,4511,44,-0.018592612616908429,0.6252258343476071,4511,44,0.013466558430477654,0.6487941893510388,4511,44
),0.0014231788800246174,0.9657151001492047,4511,139,0.0185529110962117,0.6252258343476071,4511,139,-0.0162106560788478,0.5781612127835685,4511,139
) ),-0.013308031229331368,0.6436430514225379,4511,11,0.0099297332745775981,0.7960302676445609,4511,11,0.0017625359736769264,0.9574238851445503,4511,11
) .,0.02608227620969273,0.3883476289738831,4511,6,-0.019801863050212629,0.6225818208220522,4511,6,-0.0017924351239478936,0.95724533635498,4511,6
):,0.01322558346998882,0.646388581600299,4511,10,0.0018447221578209395,0.9690294949639114,4511,10,-0.010093826045778215,0.7390293337087825,4511,10
*,-0.022137958770292312,0.5097774229016281,4511,101,-0.0079961492415615565,0.8424791092377397,4511,101,0.025414749234208056,0.35421380931533547,4511,101
* *,-0.0036446985956164143,0.9089962138733563,4511,19,-0.019209508400786581,0.6252258343476071,4511,19,0.015103333743672023,0.6037703862750448,4511,19
+,-0.016823645818336879,0.5546607574243461,4511,21,0.0097409020938915899,0.799452926408346,4511,21,0.0099864346217579704,0.7426681041303759,4511,21
",",-0.016904347284242172,0.5546607574243461,4511,2560,0.0058312856404392011,0.8776127231872609,4511,2560,0.0019583099368183114,0.9549286958195984,4511,2560
", """,-0.0185194400476799,0.5516685517151902,4511,5,0.024132976614584255,0.5198072288562663,4511,5,-0.016179123350806499,0.5781612127835685,4511,5
", &",0.024352277674002838,0.44642638247589983,4511,5,-0.0095204167399347509,0.8043058098624126,4511,5,-0.020447772630320309,0.47476993064006906,4511,5
", a",-0.021658998713100605,0.5206192311366307,4511,12,0.00081707848360425533,0.982147498001428,4511,12,0.012623540291498491,0.6724665716695045,4511,12
", all",-0.011932051349085891,0.6795182045383039,4511,6,-0.020234962090742048,0.615872245555859,4511,6,0.031256267225930931,0.2713023940899342,4511,6
", and",0.0094149156074990661,0.7555071223298044,4511,68,0.0035611201821629168,0.9275267758417398,4511,68,-0.011418321051341404,0.7014028726584682,4511,68
", and i",-0.015597692117351358,0.5791167606188377,4511,9,0.024780487577418079,0.4957850577551826,4511,9,-0.0044176969601054123,0.8935372478151733,4511,9
", because",0.017928317355405381,0.5516685517151902,4511,5,-0.0016435172053603307,0.97306069701586,4511,5,-0.011235859912697726,0.7083982268527907,4511,5
", but",0.0051797036529938733,0.8695813343065572,4511,63,-0.0084927783962634191,0.8296810463163077,4511,63,-0.0018773141174821208,0.956181253374081,4511,63
", but i",0.0041409212444270633,0.8954598756361114,4511,9,-0.017073026152441492,0.6356997506376548,4511,9,0.015233524098740884,0.6019389221131336,4511,9
", for",-0.01808670924165004,0.5516685517151902,4511,5,0.0083734133307595167,0.8319030199073081,4511,5,0.011119727356128779,0.7117114867158317,4511,5
", have",-0.015860787388669719,0.5708249514230894,4511,5,-0.0030978061514248599,0.9354909356225495,4511,5,0.018964491688711602,0.5104634848044582,4511,5
", i",-0.018484860893576649,0.5516685517151902,4511,84,0.017772637859657877,0.6252258343476071,4511,84,0.0064985710369936823,0.8481492497849288,4511,84
", i don't",-0.014220689894234924,0.6189647028567269,4511,5,-0.006754242418541897,0.8634766757260763,4511,5,0.02051269849087561,0.473616619534927,4511,5
", i want",0.0023389211132441787,0.9411886180285423,4511,5,0.0048153739406487372,0.8993642195751147,4511,5,-0.003568564747765578,0.9117637581911874,4511,5
", i'm",0.0074766518032886118,0.8064564701153359,4511,16,-0.013095527883886444,0.7333288869644125,4511,16,0.0093829830686400981,0.7581264710336544,4511,16
", if",0.010599894978655346,0.721784375733068,4511,13,-0.023785641874141495,0.5232295285685271,4511,13,0.007142756600004972,0.8261359843935113,4511,13
", im",-0.0082365401645833822,0.7861537219234173,4511,6,-0.0077175886555112712,0.8429699480402812,4511,6,0.016308616344864541,0.5772371337343539,4511,6
", in",-0.0093846010572765474,0.7555071223298044,4511,8,0.020401354216697365,0.6143650237643884,4511,8,-0.0061771975144675048,0.8534934781000041,4511,8
", is",-0.00098783186710227388,0.9760661352047386,4511,7,-0.013834797151129747,0.7161709793659958,4511,7,0.016116563641802598,0.5791947657114599,4511,7
", it",-0.013573689629725046,0.6367654968681005,4511,19,0.0004713908708605083,0.9884817955623512,4511,19,0.011357612336308776,0.7044937353646269,4511,19
", it's",0.0010936203287609256,0.9731847517623444,4511,8,-0.012657020332705812,0.7345390111863312,4511,8,0.013564202886958742,0.6463106515623662,4511,8
", its",-0.011907913422343276,0.6802896950002882,4511,8,0.0066530362217394222,0.8665948521184779,4511,8,-0.0035913751598127415,0.9116824934228627,4511,8
", just",-0.0088867309929985885,0.7670989874079045,4511,13,0.011904985280398154,0.7489362711303073,4511,13,-0.014951538019135553,0.606057800654272,4511,13
", like",0.001274725640299469,0.9679947194567506,4511,6,-0.018807916428276276,0.6252258343476071,4511,6,0.018448262455831553,0.526337655378169,4511,6
", lol",-0.012444098203493166,0.6609983855239583,4511,7,0.035024027570534577,0.17909120113334984,4511,7,-0.016763160808513974,0.5656377557076648,4511,7
", my",0.028763814407570351,0.30818454005431184,4511,9,0.0052925389838978992,0.8872089982199431,4511,9,-0.025602085210086344,0.34915062685513504,4511,9
", no",-0.019750797764878647,0.5516685517151902,4511,9,-0.00032381692740514432,0.9929935962484359,4511,9,-0.00091380546569491835,0.981743274333486,4511,9
", not",0.019324748529473936,0.5516685517151902,4511,12,-0.015852430525309422,0.666552213737126,4511,12,0.0011959371965742178,0.9737391593703811,4511,12
", now",0.010279797996443985,0.7298809739631525,4511,8,0.00010298620282555669,0.9984764856205434,4511,8,-0.0053186010940528758,0.8752899143767887,4511,8
", or",0.0091981511373055765,0.7582414877756435,4511,12,-0.021561593557826542,0.5976101866593524,4511,12,0.0086219669541463904,0.7822541951689006,4511,12
", please",0.0026848559424493879,0.9330903335815507,4511,7,-0.0038433995901386861,0.9251311325049816,4511,7,0.004238985722525037,0.8986437274396327,4511,7
", she",-0.015497442643092647,0.5817678664719446,4511,12,0.0060380728439770274,0.8754819317299724,4511,12,0.0052099146513848952,0.878900569577306,4511,12
", so",-0.010102765422969732,0.7355208917312244,4511,13,0.016824117346658229,0.6431033080291554,4511,13,-0.0015759601517009367,0.9631195108376653,4511,13
", thank",0.004274483309630304,0.8926395651447234,4511,6,-0.0055259438094861814,0.882885993663681,4511,6,0.0039025106941446746,0.9070214653406994,4511,6
", thanks",-0.014299420618107374,0.6156162366830141,4511,5,0.012085064587406323,0.7450310273198865,4511,5,0.003968771163878039,0.905887168814719,4511,5
", that",-0.022141348790347546,0.5097774229016281,4511,9,0.049404560563276745,0.020283229913018116,4511,9,-0.020938412869550522,0.4624602015755673,4511,9
", the",-0.012070447507836908,0.6749286588444282,4511,21,-0.00073514849916840998,0.982147498001428,4511,21,-0.0022785820602154844,0.947370430166042,4511,21
", then",0.0076691096753957484,0.8027389817108533,4511,11,-0.01884200789526376,0.6252258343476071,4511,11,0.0048556892487304805,0.8859091017563657,4511,11
", they",-0.017748885660214559,0.5516685517151902,4511,6,-0.014033485613377791,0.7123068760305354,4511,6,0.030546690206346479,0.2833581361558053,4511,6
", this",-0.0022389178759676508,0.9438037539696169,4511,7,-0.0042595556200121934,0.9156899963626005,4511,7,0.0090721038181947825,0.7662000807539877,4511,7
", this is",0.010299321208355387,0.7293860987218653,4511,5,0.0079353829279538105,0.8424791092377397,4511,5,-0.01278013845799192,0.6671532667739067,4511,5
", we",-0.01194918391634715,0.6788164758161913,4511,13,-0.010503300906140654,0.7839267044562248,4511,13,0.019017536747897638,0.5089426047222618,4511,13
", well",0.0052103067800291294,0.8695813343065572,4511,5,-0.0041183039899812699,0.9194219790008482,4511,5,0.0018187356717291564,0.9568377294070097,4511,5
", what",0.012497557238759843,0.6608491110293563,4511,9,0.0022577815311159654,0.9595482613772769,4511,9,-0.0089016619235028141,0.7726965132841933,4511,9
", when",0.013332996028045989,0.6430804069797815,4511,7,-0.016338995427943082,0.651141832842088,4511,7,-0.0041081740655602899,0.9035684976930853,4511,7
", why",-0.01838120980639198,0.5516685517151902,4511,5,0.0064763938204341733,0.8689484249475778,4511,5,0.013095099185964959,0.6580960894674988,4511,5
", you",-0.023151771194814097,0.48304048278575445,4511,31,0.0024231906173563141,0.9561489340709671,4511,31,0.002842429708806089,0.9311137369752605,4511,31
", your",-0.016353426001021413,0.5603484174723138,4511,5,-0.012234046540053074,0.7395602995333866,4511,5,0.01594123620245283,0.5835899488931965,4511,5
-,0.0025841352913463424,0.9348454838855104,4511,135,-0.007165845217545706,0.8556295470067551,4511,135,0.011562430281340486,0.6952966845547567,4511,135
- -,0.031708167460856147,0.23186485254657407,4511,42,-0.016958466498407914,0.6406745538679812,4511,42,-0.0087165162855139949,0.7792059122096726,4511,42
- - -,0.028899396512034697,0.3057382499602792,4511,28,-0.013998809031593427,0.7123068760305354,4511,28,-0.010237583086335844,0.7376267167674283,4511,28
- i,-0.0060246258463174654,0.848542227522557,4511,5,-0.0085937106967559334,0.8268962184064693,4511,5,0.015703696803306882,0.589069944944672,4511,5
-.-,-0.018061049051908744,0.5516685517151902,4511,10,-0.0031163796488378839,0.9348761626693273,4511,10,0.022362023097851638,0.4253322663840311,4511,10
-LRB-,0.0070778633548491069,0.8193562910050803,4511,238,-0.023799855383235372,0.5232295285685271,4511,238,0.023772958731211678,0.3941146767985249,4511,238
-RRB-,0.025073194917911133,0.4222375915529709,4511,380,0.00097352350354631479,0.9811645041369143,4511,380,-0.017870800649895904,0.5388954192722997,4511,380
-_-,-0.014563844732593881,0.6069046043685978,4511,8,0.028033640986665609,0.3820087022050912,4511,8,-0.0088206986123523842,0.7757899304088192,4511,8
.,-0.0047251991621308793,0.8810857991029154,4511,5943,-0.031243571817710342,0.27861981923328905,4511,5943,0.033147447815447297,0.24164012059362308,4511,5943
. !,0.016271400120252244,0.5616618265347099,4511,5,0.0046292464115863701,0.9040042889746033,4511,5,-0.015120069423445256,0.6037703862750448,4511,5
". """,0.0097682759436883183,0.7434841390589568,4511,19,0.013380392432609656,0.7278110305566056,4511,19,-0.038027167727041816,0.15476415066777288,4511,19
. (,-0.0093648655726696617,0.7555071223298044,4511,9,0.0051365910754750839,0.8907943313265607,4511,9,0.0075078336941109616,0.8175945434997939,4511,9
. . .,0.0041129317928486672,0.8956184530587769,4511,18,-0.0055202085650158036,0.882885993663681,4511,18,0.004776175969931404,0.8859091017563657,4511,18
. :),-0.0045118977466214495,0.8847866768333498,4511,17,-0.012987667956592423,0.7345390111863312,4511,17,0.0096096995512689395,0.7493193600817531,4511,17
. :d,0.0048470854602743552,0.8783452294766572,4511,6,0.00030498540003990433,0.9929935962484359,4511,6,-0.0011736791631706274,0.9746340444998682,4511,6
. <,0.003957731911977398,0.8995871967413822,4511,5,0.0049685907969491327,0.8960029458546153,4511,5,-0.004796594124352814,0.8859091017563657,4511,5
. <3,-0.0055304371068680431,0.8614697841827424,4511,17,0.0098148407624669819,0.797464613884336,4511,17,0.00056543975072279561,0.9882287581279035,4511,17
. ?,0.022516112916109627,0.502319742709367,4511,13,-0.024720491694995003,0.49847432912134393,4511,13,-0.0013588755376467278,0.9687674093561977,4511,13
. a,-0.0095107599688434869,0.7533753681971209,4511,6,-0.020692144746987006,0.6114771387323741,4511,6,0.014604700689659689,0.6195272975657484,4511,6
. also,-0.017952391613159847,0.5516685517151902,4511,5,0.0074345809935188346,0.85018663376292,4511,5,0.011810735706345474,0.6910466459461854,4511,5
. and,-0.01199476846025575,0.6773756342326693,4511,24,0.018642163538084729,0.6252258343476071,4511,24,-0.0079540795115227401,0.803773358090797,4511,24
. at,-0.016328761244398068,0.560671596003798,4511,5,0.048925183541038503,0.022415568268963425,4511,5,-0.026463608170550577,0.33664845071408156,4511,5
. but,-0.0064205716929828681,0.8392025691896243,4511,17,-0.0031191155999152858,0.9348761626693273,4511,17,0.0030856498014885927,0.9222784009457063,4511,17
. go,-0.018048046786471979,0.5516685517151902,4511,5,0.026499826662019294,0.44178656575831327,4511,5,-0.00491524882397717,0.885121298462889,4511,5
. he,-0.020263302889409602,0.5516685517151902,4511,12,0.021745678143163073,0.5942622752471569,4511,12,0.0023372971405445611,0.9465916664495966,4511,12
. hope,0.0086154101470987988,0.7759823216408298,4511,8,0.025559760034519131,0.4729101340234003,4511,8,-0.02613784558296477,0.33867869049585736,4511,8
. http://t.co,-0.022424931789947665,0.50260872021343,4511,19,-0.01130458110915953,0.760965839172298,4511,19,0.034840185064403881,0.20877570780616736,4511,19
. http://t.co /,-0.022432795468390849,0.50260872021343,4511,19,-0.01141050168204337,0.7585304645631069,4511,19,0.034870202072459396,0.20877570780616736,4511,19
. i,-0.011185665937256737,0.7030687478223302,4511,111,0.018557341186510919,0.6252258343476071,4511,111,0.0058783507496707093,0.8610797686554601,4511,111
. i .,-0.014860592738613704,0.5993113466072241,4511,5,0.0021142671906860719,0.9634351847641017,4511,5,0.01334163448546704,0.6513028385651009,4511,5
. i don't,-0.0069386765861896797,0.8204773265573969,4511,7,-0.0023518623233770822,0.9577100294469025,4511,7,0.011253567471081522,0.7083982268527907,4511,7
. i feel,0.0019910553075329625,0.9498848198743695,4511,5,0.0068329590864544725,0.8627027632206177,4511,5,-0.004763887533927879,0.886152583429329,4511,5
. i just,-0.018044819597357677,0.5516685517151902,4511,9,0.018381755621879829,0.6252258343476071,4511,9,0.0031221338204112116,0.9214942257708719,4511,9
. i love,-0.017135699313995723,0.5546607574243461,4511,12,0.0010308689200953663,0.9811645041369143,4511,12,0.017767903069919481,0.5430316356785384,4511,12
. i miss,0.022085513153472704,0.5106782394588467,4511,6,-0.014082139037569566,0.7114891801009976,4511,6,-0.0035231116626418535,0.9126607689827241,4511,6
. i think,-0.011431551046078198,0.6957433011037076,4511,5,0.036128627368434987,0.16089843731247847,4511,5,-0.019192416119981674,0.5025724682823055,4511,5
. i'm,0.012490311230949996,0.6609319430968128,4511,20,-0.0050274764060315958,0.8927506842873884,4511,20,-0.00083226793950101901,0.9825912712687047,4511,20
. if,0.010779287954737897,0.7153555561902647,4511,8,-0.010041703628351772,0.7934089450557984,4511,8,0.003362188862905415,0.9154808721384087,4511,8
. im,-0.0023968585139366389,0.938913499864527,4511,5,-0.012722269428139333,0.7345390111863312,4511,5,0.016082343077124958,0.5800986980465094,4511,5
. it,0.0024080776546235331,0.9386153593090694,4511,23,-0.001800755562263056,0.9694349104157788,4511,23,0.00054232473066322692,0.9882287581279035,4511,23
. it was,-0.0082842233426129869,0.7859903271430544,4511,7,0.052119671524348737,0.012816065715009673,4511,7,-0.035279195464800579,0.2041594044287725,4511,7
. it's,0.0056413502818735625,0.8595412256492069,4511,13,0.0085663468661430712,0.8274474686164551,4511,13,-0.0079099896503461754,0.8050799843764791,4511,13
. its,0.0070270130084185674,0.8194471331159667,4511,6,-0.020256850379675818,0.615872245555859,4511,6,0.015020899518327045,0.6056760903304776,4511,6
. just,0.0010916194664842651,0.9731847517623444,4511,7,-0.0061383649489460939,0.8746475077647853,4511,7,-0.0027921199951376611,0.9314097323817537,4511,7
. like,-0.021727893224059658,0.5197146972692779,4511,7,0.024118238920017292,0.5198072288562663,4511,7,0.00095206138498118249,0.9804206998338236,4511,7
. lmao,-0.015113137010952458,0.5922440213294964,4511,5,0.0452828595552821,0.041003602664387566,4511,5,-0.024493476884102975,0.3752556363524109,4511,5
. lol,-0.01655130128800697,0.5581729794039367,4511,17,0.02355165992251624,0.5331900513719139,4511,17,-0.0017031548388853103,0.959362816224618,4511,17
. love,-0.017348391017175554,0.5516685517151902,4511,6,0.0067031835916339681,0.8647863451960779,4511,6,0.0082058581463139678,0.7937985576335105,4511,6
. my,-0.015661182633307482,0.577175287088312,4511,15,0.0032339534275957205,0.9345597630084906,4511,15,0.0039875613567692501,0.9056501271367244,4511,15
. no,-0.0070693552229901821,0.8194058395972651,4511,12,-0.01628222076249411,0.6540779646054911,4511,12,0.024617723134997431,0.37168981005758306,4511,12
. not,-0.014060610843783728,0.6237548508875425,4511,8,0.00089991915989716853,0.9811645041369143,4511,8,0.00060113584786016634,0.9874389624688846,4511,8
. r,-0.017772734187354873,0.5516685517151902,4511,5,0.024323423822659011,0.5130858071312587,4511,5,-0.013487396019717776,0.648296177722588,4511,5
. rt,0.0013281458768169482,0.9675407916268249,4511,10,-0.025307008787240962,0.4804340537770242,4511,10,0.025154996561593979,0.3577679404337438,4511,10
. she,-0.017447025655061774,0.5516685517151902,4511,13,0.046948334273724315,0.03142534920782039,4511,13,-0.022023386902469941,0.43414382637405075,4511,13
. so,0.019670965947280412,0.5516685517151902,4511,8,0.005711990155752791,0.8790966493168656,4511,8,-0.018162355621249449,0.5318238555033418,4511,8
